name,time,flow_in,flow_out,pressure_in,pressure_out
branch5_seg0,6.7499999999999993e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch5_seg0,7.8749999999999998e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch5_seg0,9.0000000000000002e-01,1.3281658376391485e+02,1.3281658376391485e+02,1.9127836726553174e+04,1.9127836726553174e+04
branch6_seg0,0.0000000000000000e+00,7.3057558667465770e+01,7.3057558667465770e+01,4.4974233115691923e+03,4.4974233115691923e+03
branch6_seg0,1.1249999999999993e-01,7.3057558667266449e+01,7.3057558667266449e+01,4.4974233115569232e+03,4.4974233115569232e+03
branch6_seg0,2.2499999999999998e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,3.3750000000000002e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,4.5000000000000007e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,5.6250000000000011e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,6.7499999999999993e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,7.8749999999999998e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch6_seg0,9.0000000000000002e-01,7.3057558667366095e+01,7.3057558667366095e+01,4.4974233115630577e+03,4.4974233115630577e+03
branch7_seg0,0.0000000000000000e+00,5.9759025096630289e+01,5.9759025096630289e+01,3.6787655849485604e+03,3.6787655849485604e+03
branch7_seg0,1.1249999999999993e-01,5.9759025096467248e+01,5.9759025096467248e+01,3.6787655849385242e+03,3.6787655849385242e+03
branch7_seg0,2.2499999999999998e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,3.3750000000000002e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,4.5000000000000007e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,5.6250000000000011e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,6.7499999999999993e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,7.8749999999999998e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch7_seg0,9.0000000000000002e-01,5.9759025096548761e+01,5.9759025096548761e+01,3.6787655849435414e+03,3.6787655849435414e+03
branch8_seg0,0.0000000000000000e+00,2.5864183928058310e+02,2.5864183928058310e+02,1.7724854856510032e+04,1.7724854856510032e+04
branch8_seg0,1.1249999999999993e-01,2.5864183927987744e+02,2.5864183927987744e+02,1.7724854856461676e+04,1.7724854856461676e+04
branch8_seg0,2.2499999999999998e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,3.3750000000000002e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,4.5000000000000007e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,5.6250000000000011e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,6.7499999999999993e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,7.8749999999999998e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch8_seg0,9.0000000000000002e-01,2.5864183928023027e+02,2.5864183928023027e+02,1.7724854856485854e+04,1.7724854856485854e+04
branch9_seg0,0.0000000000000000e+00,1.9835548328887759e+02,1.9835548328887759e+02,1.2210763551263302e+04,1.2210763551263302e+04
branch9_seg0,1.1249999999999993e-01,1.9835548328833644e+02,1.9835548328833644e+02,1.2210763551229995e+04,1.2210763551229995e+04
branch9_seg0,2.2499999999999998e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,3.3750000000000002e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,4.5000000000000007e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,5.6250000000000011e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,6.7499999999999993e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,7.8749999999999998e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch9_seg0,9.0000000000000002e-01,1.9835548328860702e+02,1.9835548328860702e+02,1.2210763551246646e+04,1.2210763551246646e+04
branch10_seg0,0.0000000000000000e+00,6.0286355991705491e+01,6.0286355991705491e+01,3.7112280748493909e+03,3.7112280748493909e+03
branch10_seg0,1.1249999999999993e-01,6.0286355991541022e+01,6.0286355991541022e+01,3.7112280748392654e+03,3.7112280748392654e+03
branch10_seg0,2.2499999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,3.3750000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,4.5000000000000007e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,5.6250000000000011e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,6.7499999999999993e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,7.8749999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg0,9.0000000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,0.0000000000000000e+00,6.0286355991705491e+01,6.0286355991705491e+01,3.7112280748493909e+03,3.7112280748493909e+03
branch10_seg1,1.1249999999999993e-01,6.0286355991541022e+01,6.0286355991541022e+01,3.7112280748392654e+03,3.7112280748392654e+03
branch10_seg1,2.2499999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,3.3750000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,4.5000000000000007e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,5.6250000000000011e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,6.7499999999999993e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,7.8749999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg1,9.0000000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,0.0000000000000000e+00,6.0286355991705491e+01,6.0286355991705491e+01,3.7112280748493909e+03,3.7112280748493909e+03
branch10_seg2,1.1249999999999993e-01,6.0286355991541022e+01,6.0286355991541022e+01,3.7112280748392654e+03,3.7112280748392654e+03
branch10_seg2,2.2499999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,3.3750000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,4.5000000000000007e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,5.6250000000000011e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,6.7499999999999993e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,7.8749999999999998e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch10_seg2,9.0000000000000002e-01,6.0286355991623253e+01,6.0286355991623253e+01,3.7112280748443277e+03,3.7112280748443277e+03
branch11_seg0,0.0000000000000000e+00,6.0135696343161705e+01,6.0135696343161705e+01,3.7019534668850351e+03,3.7019534668850351e+03
branch11_seg0,1.1249999999999993e-01,6.0135696342997633e+01,6.0135696342997633e+01,3.7019534668749343e+03,3.7019534668749343e+03
branch11_seg0,2.2499999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,3.3750000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,4.5000000000000007e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,5.6250000000000011e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,6.7499999999999993e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,7.8749999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg0,9.0000000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,0.0000000000000000e+00,6.0135696343161705e+01,6.0135696343161705e+01,3.7019534668850351e+03,3.7019534668850351e+03
branch11_seg1,1.1249999999999993e-01,6.0135696342997633e+01,6.0135696342997633e+01,3.7019534668749343e+03,3.7019534668749343e+03
branch11_seg1,2.2499999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,3.3750000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,4.5000000000000007e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,5.6250000000000011e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,6.7499999999999993e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,7.8749999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg1,9.0000000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,0.0000000000000000e+00,6.0135696343161705e+01,6.0135696343161705e+01,3.7019534668850351e+03,3.7019534668850351e+03
branch11_seg2,1.1249999999999993e-01,6.0135696342997633e+01,6.0135696342997633e+01,3.7019534668749343e+03,3.7019534668749343e+03
branch11_seg2,2.2499999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,3.3750000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,4.5000000000000007e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,5.6250000000000011e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,6.7499999999999993e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,7.8749999999999998e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch11_seg2,9.0000000000000002e-01,6.0135696343079658e+01,6.0135696343079658e+01,3.7019534668799838e+03,3.7019534668799838e+03
branch12_seg0,0.0000000000000000e+00,8.0812502007301916e+01,8.0812502007301916e+01,4.9748176235695064e+03,4.9748176235695064e+03
branch12_seg0,1.1249999999999993e-01,8.0812502007081420e+01,8.0812502007081420e+01,4.9748176235559322e+03,4.9748176235559322e+03
branch12_seg0,2.2499999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,3.3750000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,4.5000000000000007e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,5.6250000000000011e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,6.7499999999999993e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,7.8749999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg0,9.0000000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,0.0000000000000000e+00,8.0812502007301916e+01,8.0812502007301916e+01,4.9748176235695064e+03,4.9748176235695064e+03
branch12_seg1,1.1249999999999993e-01,8.0812502007081420e+01,8.0812502007081420e+01,4.9748176235559322e+03,4.9748176235559322e+03
branch12_seg1,2.2499999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,3.3750000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,4.5000000000000007e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,5.6250000000000011e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,6.7499999999999993e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,7.8749999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg1,9.0000000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,0.0000000000000000e+00,8.0812502007301916e+01,8.0812502007301916e+01,4.9748176235695064e+03,4.9748176235695064e+03
branch12_seg2,1.1249999999999993e-01,8.0812502007081420e+01,8.0812502007081420e+01,4.9748176235559322e+03,4.9748176235559322e+03
branch12_seg2,2.2499999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,3.3750000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,4.5000000000000007e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,5.6250000000000011e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,6.7499999999999993e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,7.8749999999999998e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
branch12_seg2,9.0000000000000002e-01,8.0812502007191668e+01,8.0812502007191668e+01,4.9748176235627188e+03,4.9748176235627188e+03
